order_item_id,transaction_id,product_id,quantity,unit_price,total_amount
ITEM_00000000,TRANS_000001,PROD_1062,1,11.9,11.9
ITEM_00000001,TRANS_000001,PROD_0553,4,19.92,79.68
ITEM_00000002,TRANS_000001,PROD_0241,1,1278.96,1278.96
ITEM_00000003,TRANS_000001,PROD_0548,2,16.05,32.1
ITEM_00000004,TRANS_000002,PROD_1170,1,104.13,104.13
ITEM_00000005,TRANS_000002,PROD_1504,3,26.89,80.67
ITEM_00000006,TRANS_000003,PROD_1648,2,80.7,161.4
ITEM_00000007,TRANS_000003,PROD_1392,2,68.73,137.46
ITEM_00000008,TRANS_000003,PROD_0549,3,97.81,293.43
ITEM_00000009,TRANS_000003,PROD_1184,4,17.2,68.8
ITEM_00000010,TRANS_000003,PROD_1503,2,56.39,112.78
ITEM_00000011,TRANS_000003,PROD_1102,4,116.08,464.32
ITEM_00000012,TRANS_000003,PROD_0857,3,110.13,330.39
ITEM_00000013,TRANS_000003,PROD_1461,2,168.12,336.24
ITEM_00000014,TRANS_000003,PROD_0248,1,112.07,112.07
ITEM_00000015,TRANS_000004,PROD_0434,4,988.38,3953.52
ITEM_00000016,TRANS_000004,PROD_0398,3,86.08,258.24
ITEM_00000017,TRANS_000005,PROD_0187,2,304.26,608.52
ITEM_00000018,TRANS_000006,PROD_0695,2,99.16,198.32
ITEM_00000019,TRANS_000006,PROD_1257,4,99.24,396.96
ITEM_00000020,TRANS_000007,PROD_1347,3,134.03,402.09
ITEM_00000021,TRANS_000007,PROD_1985,4,1360.48,5441.92
ITEM_00000022,TRANS_000007,PROD_0617,4,133.74,534.96
ITEM_00000023,TRANS_000008,PROD_1479,1,14.87,14.87
ITEM_00000024,TRANS_000008,PROD_1259,4,575.59,2302.36
ITEM_00000025,TRANS_000009,PROD_0680,1,141.36,141.36
ITEM_00000026,TRANS_000009,PROD_1837,4,18.3,73.2
ITEM_00000027,TRANS_000009,PROD_1588,3,56.2,168.6
ITEM_00000028,TRANS_000009,PROD_0124,3,53.18,159.54
ITEM_00000029,TRANS_000009,PROD_1363,2,131.6,263.2
ITEM_00000030,TRANS_000009,PROD_1804,4,535.6,2142.4
ITEM_00000031,TRANS_000009,PROD_0533,3,90.19,270.57
ITEM_00000032,TRANS_000010,PROD_0746,4,38.87,155.48
ITEM_00000033,TRANS_000010,PROD_0274,1,143.29,143.29
ITEM_00000034,TRANS_000011,PROD_0033,1,84.16,84.16
ITEM_00000035,TRANS_000011,PROD_1971,3,107.91,323.73
ITEM_00000036,TRANS_000011,PROD_1268,2,38.91,77.82
ITEM_00000037,TRANS_000012,PROD_0475,3,43.61,130.83
ITEM_00000038,TRANS_000012,PROD_0795,3,883.1,2649.3
ITEM_00000039,TRANS_000012,PROD_0467,1,19.81,19.81
ITEM_00000040,TRANS_000012,PROD_1213,1,55.28,55.28
ITEM_00000041,TRANS_000012,PROD_1723,3,23.97,71.91
ITEM_00000042,TRANS_000013,PROD_1262,4,107.39,429.56
ITEM_00000043,TRANS_000013,PROD_1807,3,175.95,527.85
ITEM_00000044,TRANS_000014,PROD_1640,1,48.67,48.67
ITEM_00000045,TRANS_000014,PROD_1356,3,158.89,476.67
ITEM_00000046,TRANS_000014,PROD_1824,1,66.77,66.77
ITEM_00000047,TRANS_000014,PROD_0271,2,126.36,252.72
ITEM_00000048,TRANS_000015,PROD_0986,1,64.44,64.44
ITEM_00000049,TRANS_000016,PROD_1834,3,55.78,167.34
